Ville;Année;Sexe;total;<1;1-4;5-14;15-24;25-34;35-44;45-54;55-64;65-74;75-84;85-94;95
2;24;F;4005;1415;383;17;0;0;10;21;67;152;201;486;1253
2;24;M;3966;737;95;25;0;7;32;57;156;285;445;842;1285
2;25;T;7218;1854;409;52;16;12;48;81;194;389;696;1118;2349
2;25;F;3597;1259;329;26;0;7;19;26;66;127;228;411;1099
2;25;M;3610;595;80;26;10;0;29;55;128;262;468;707;1250
2;26;T;7437;2041;420;44;10;18;36;89;201;402;630;1153;2393
2;26;F;3768;1327;340;22;0;0;0;31;74;146;229;408;1191
2;26;M;3657;714;80;22;8;13;31;58;127;256;401;745;1202
2;27;T;7423;1986;437;49;15;14;39;72;194;418;717;1075;2407
2;27;F;3687;1325;355;16;7;0;10;16;54;150;222;397;1135
2;27;M;3732;661;82;33;8;10;29;56;140;268;495;678;1272
2;28;T;7382;2239;434;44;8;7;30;62;176;394;711;1030;2247
2;28;F;3707;1358;345;17;0;0;7;22;69;134;227;388;1140
2;28;M;3660;881;89;27;0;0;23;40;107;260;484;642;1107
2;29;T;7364;2165;495;29;17;9;46;74;177;382;741;1002;2227
2;29;F;3614;1319;380;14;9;0;9;28;67;130;243;341;1074
2;29;M;3741;846;115;15;8;0;37;46;110;252;498;661;1153
2;30;T;7430;2307;590;39;7;15;47;77;176;370;715;909;2178
2;30;F;3725;1393;449;21;0;0;12;31;63;124;247;372;1013
2;30;M;3693;914;141;18;0;10;35;46;113;246;468;537;1165
2;31;T;7356;2389;534;51;10;21;44;53;191;366;750;907;2040
2;31;F;3708;1472;413;21;0;8;17;17;59;124;228;327;1022
2;31;M;3638;917;121;30;0;13;27;36;132;242;522;580;1018
2;32;T;7137;2399;547;43;7;0;33;60;172;339;659;910;1968
2;32;F;3587;1425;439;16;0;0;8;20;53;117;210;325;974
2;32;M;3543;974;108;27;0;0;25;40;119;222;449;585;994
2;33;T;7509;2656;550;47;0;9;44;63;132;377;696;932;2003
2;33;F;3862;1659;442;21;0;0;13;17;44;117;239;362;948
2;33;M;3638;997;108;26;0;0;31;46;88;260;457;570;1055
2;34;T;7276;2633;525;55;7;11;49;77;124;340;633;962;1860
2;34;F;3767;1688;431;27;0;8;9;20;46;105;213;352;868
